AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,ELIGIBILITY,DESCRIPTION_SERVICE,POSTAL_CODE
Toronto Mental Health And Addictions Access Point,"661 Yonge St, 4th Fl, Toronto, ON     M4Y 1Z9","Church-Yonge Corridor, 75",416-640-1934,"Individuals 14 years and older, who are experiencing serious, life-affecting mental health or concurrent mental health and addiction problems -- may vary by program, see service description for details * must live within the City of Toronto to receive services","Coordinated intake for intensive case management, assertive community treatment teams, early psychosis intervention, and supportive housing * coordinated access to participating mental health and supportive housing agencies<br>
<br>
<b>Individual support services:</b><br>
<b>Intensive Case Management</b> -- one-on-one support for individuals with serious mental illness, who require individual case management support to live in the community * links to appropriate services<br>
<br>
<b>Assertive Community Treatment Teams (ACTT)</b> -- treatment, rehabilitation and support for individuals with severe mental health diagnosis, particularly psychosis, and with a history of hospitalization * multidisciplinary team<br>
<br>
<b>Supportive housing:</b><br>
<b>Mental Health Supportive Housing Program</b> -- links to supportive housing with various levels of support including shared or independent housing, for individuals with mental health or mental health and addiction issues * must qualify for housing subsidy<br>
<br>
<b>Problematic Substance Use Program</b> -- links to low support independent housing for individuals with severe substance use, who are homeless or under housed * must qualify for housing subsidy<br>
<br>
<b>Mental Health and Justice Program</b> -- links to low support independent housing for individuals with serious mental health challenges, who are homeless or at risk of homelessness, and who have current involvement with the Criminal Justice system at time of intake * referral by priority referral source such as justice system professionals * must qualify for housing subsidy",M4Y 1Z9
Alcoholics Anonymous,"234 Eglinton Ave E, Ste 202, Toronto, ON     M4P 1K5","Mount Pleasant West, 104",Support Line 416-487-5591,Anyone with a desire to stop drinking,Weekly group meetings Monday-Sunday,M4P 1K5
Toronto Drug Treatment Court,"Old City Hall, 60 Queen St W, Rm 115, Toronto, ON     M5H 2M4","Bay Street Corridor, 76",416-973-1314 ; Duty Counsel Office 416-594-9300,"Non-violent adult offenders who are dependent on cocaine, crack cocaine, heroin or other opiates, or methamphetamine, and have been charged with possession or trafficking of small quantities of crack, cocaine or heroin * may also be charged with minor property crimes or prostitution","Court Diversion Program -- voluntary court-supervised outpatient drug addiction treatment with case management * graduates receive a non-custodial sentence rather than incarceration *  treatment is provided by the Centre for Addiction and Mental Health (CAMH) at 100 Stokes St, 3rd Fl. * other operating partners include Ontario Court of Justice, Legal Aid Ontario, Toronto Bail Program, additional government ministries and community agencies.",M5H 2M3
Alpha House,"647 Broadview Ave, Toronto, ON     M4K 2N9","North Riverdale, 68",416-469-1700,Employable men 18 years and older who are alcohol or drug users committed to total abstinence * do not take clients on Methadone or Suboxen,Rehabilitation residence * capacity 18 * staffed 24 hours * self help group attendance mandatory * stay 3 months * support meetings/groups available for non-residents,M4K 2N9
Bellwood Health Services,"1020 McNicoll Ave, Toronto, ON     M1W 2J6","Steeles, 116",416-495-0926,"Women and men 19 years and older, with alcohol and/or drug addiction, problem gambling, eating disorders, sex addiction, or concurrent trauma and addiction","Residential and outpatient addiction treatment, including individual, family and couples counselling",M1W 2J6
Scarborough Hospital,"1225 Kennedy Rd, Unit J, Toronto, ON     M1P 4Y1","Dorset Park, 126",416-431-8135,Persons with severe and persistent mental illness,Psychiatric outpatient program for adults experiencing severe persistent mental illness * assessment and treatment * medication clinics * needle exchange * substance abuse treatment * group and individual treatment,M1P 4Y1
Salvation Army,"2085 Ellesmere Rd, Toronto, ON     M1H 2W6","Woburn, 137",416-431-4379,"Women and men (including transgender clients) 18 years and older, who identify substance use problems, including clients stabilized on methadone/suboxone * priority to women with children","Community based day treatment programs -- separate programs for women and men * 10 week program * comprehensive assessment and treatment planning * trauma informed care, counselling * group counselling * case management * addiction education and nicotine replacement therapy * life skills classes * relapse prevention classes * relapse prevention groups * aftercare program * strength-based perspective * spiritual care<br><br>

Supportive housing program * capacity 27",M1H 2W6
William Osler Health Centre,"101 Humber College Blvd, Toronto, ON     M9V 1R8","West Humber-Clairville, 1",416-494-2120 ext 7,NA,"Acute care hospital * inpatient and outpatient services * Ontario Breast Screening Program<br><br>
Cardiology * surgery and critical care * mental health and addictions * obstetrics and special care nursery * pediatric inpatient short stay unit * pediatric ambulatory clinics including asthma, diabetes, kidney and sickle cell anemia <br><br>
<a href="" http://www.williamoslerhc.on.ca/patients-and-families/connect-with-osler/find-a-family-doctor""> Family medicine</a> -- list of family physicians affiliated with William Osler Health Centre who are accepting new patients",M9V 1R8
St Michael's Hospital,"73 Regent Park Blvd, 3rd Fl, Toronto, ON     M5A 2B7","Regent Park, 72",Registered patients 416-864-3022 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M5A 0K7
Good Shepherd Ministries,"412 Queen St E, Toronto, ON     M5A 1T3","Regent Park, 72",416-869-3619,Homeless and disadvantaged people,"Services for the homeless and disadvantaged 
<br><br>
<b>Meal program</b> for persons who are homeless or disadvantaged Monday-Sunday 2-4 pm * <b>Drop-In Program</b> Monday-Sunday 9-11 am * coffee and snacks * <b>men's clothing</b> distributed 9-11 am, usually Monday-Friday -- call for details<br> <br> 

<b>Medical clinic</b> for persons who are homeless * Monday-Friday -- hours vary, call for details<br> <br> <b>Overnight shelter</b> for men 18 years and older * registration/intake Monday-Sunday 5:30-5:45 pm * capacity 91 * must vacate premises during the day * call for admission and discharge criteria<br> <br> 

<b>Housing workers/resettlement/crisis intervention counselling</b> -- Monday-Friday, by appointment only<br> <br> 

<b>AApricot (Addiction Assessment Psychotherapy Referral in Community of Toronto) program</b>, 416-869-3619 ext 238 -- assess, motivate and refer underserved substance users to appropriate services * Wednesdays 9 am-6 pm * operates in partnership with Fred Victor (see separate entry) and community physicians<br><br>

<b>CATCH (Co-ordinated Access to Care for the Homeless)</b> --for persons who are homeless and not connected to services, with or without mental health or addiction problems * referrals through Medical clinic -- call for details<br><br>

<b>DARE (Drug and Alcohol Recovery Enrichment) Program</b> -- for homeless adult men waiting to enter or who have completed a substance abuse rehabilitation program * referral by detox, rehabilitation centre or social service agency preferred * abstinence-based program<br> <br>

<b>Leave the Streets Behind</b>, 416-869-3619 ext 280 -- case management for homeless veterans * partnership with Veterans Affairs Canada<br><br>
 
<b>Pastoral Care Program</b> -- counselling and support to meet spiritual needs * Monday-Friday 9-5",M5A 1T3
