AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,LONGITUDE,LATITUDE,POSTAL_CODE
Agency O 79,903 Queen St,Scarborough,416-862-7796,agency.o.79@example.com,www.agency-o-79.org,Youth,Crisis intervention,-79.40035603943261,43.6501869166587,L2I 3E8
Agency S 85,186 Broadway,Scarborough,416-302-3003,agency.s.85@example.com,www.agency-s-85.org,Youth,Counseling,-79.37784772240028,43.664078415080695,L8U 1M2
Agency N 37,573 Bloor St,Downtown,416-857-8305,agency.n.37@example.com,www.agency-n-37.org,Youth,Support groups,-79.38812539468023,43.65360934820296,K3W 2H8
Agency C 8,252 Main St,Downtown,416-345-1605,agency.c.8@example.com,www.agency-c-8.org,Seniors,Day treatment,-79.387828272766,43.65606535251716,S4R 5S3
Agency J 51,458 Main St,Scarborough,416-539-8592,agency.j.51@example.com,www.agency-j-51.org,All ages,Support groups,-79.38470356069229,43.65315886593307,K3V 5A4
Agency R 74,152 Broadway,Etobicoke,416-789-8947,agency.r.74@example.com,www.agency-r-74.org,Youth,Day treatment,-79.3890497041929,43.660068132037516,D3Z 7D7
Agency V 50,831 Main St,Etobicoke,416-350-4079,agency.v.50@example.com,www.agency-v-50.org,Adults,Counseling,-79.40046508196517,43.65175320420384,V2W 1X2
Agency K 98,54 Broadway,North York,416-659-1838,agency.k.98@example.com,www.agency-k-98.org,All ages,Crisis intervention,-79.37715975041334,43.64707922065387,K4Y 1R4
Agency E 74,919 Bloor St,Midtown,416-742-4238,agency.e.74@example.com,www.agency-e-74.org,Youth,Rehabilitation,-79.38293123010281,43.65950565378202,B4S 2D1
Agency T 86,538 Main St,Midtown,416-644-8422,agency.t.86@example.com,www.agency-t-86.org,Seniors,Support groups,-79.41366966568982,43.64127297427041,G6Y 2H3
Agency N 76,235 King St,Etobicoke,416-261-9790,agency.n.76@example.com,www.agency-n-76.org,All ages,Day treatment,-79.37212472290308,43.661549674483226,F6F 5X7
Agency V 84,289 Broadway,Midtown,416-421-2657,agency.v.84@example.com,www.agency-v-84.org,Seniors,Day treatment,-79.39011675120526,43.65917328115305,G3F 1U8
Agency Y 46,185 Broadway,Downtown,416-675-3949,agency.y.46@example.com,www.agency-y-46.org,All ages,Day treatment,-79.38124290359536,43.64139187309167,D9H 3V3
Agency Z 17,765 Bloor St,Etobicoke,416-267-9262,agency.z.17@example.com,www.agency-z-17.org,Seniors,Rehabilitation,-79.38027745571762,43.659874717822866,W5D 9W7
Agency E 62,413 Queen St,Scarborough,416-541-6891,agency.e.62@example.com,www.agency-e-62.org,All ages,Support groups,-79.39371896381014,43.64441800460896,Z5V 3Y2
Agency S 46,627 Main St,Downtown,416-887-5041,agency.s.46@example.com,www.agency-s-46.org,Adults,Support groups,-79.39829694398767,43.664174713161174,P8Q 2W2
Agency Y 54,522 Bloor St,North York,416-177-5015,agency.y.54@example.com,www.agency-y-54.org,All ages,Crisis intervention,-79.36787281680823,43.64228961564097,D5T 1D9
Agency Y 35,309 Broadway,Scarborough,416-764-7919,agency.y.35@example.com,www.agency-y-35.org,Seniors,Crisis intervention,-79.36396306338881,43.65227024468802,I5F 9R7
Agency I 94,54 Bloor St,Etobicoke,416-592-5971,agency.i.94@example.com,www.agency-i-94.org,Adults,Crisis intervention,-79.3772155656211,43.63810416795135,E3Z 3N1
Agency C 79,205 Broadway,Midtown,416-298-4508,agency.c.79@example.com,www.agency-c-79.org,Youth,Crisis intervention,-79.38153336945962,43.650561080516994,P7G 2L2
Agency H 24,875 Broadway,North York,416-523-6869,agency.h.24@example.com,www.agency-h-24.org,Seniors,Crisis intervention,-79.38182801162527,43.65918657541185,K1G 9K9
Agency Z 87,779 Queen St,North York,416-544-1269,agency.z.87@example.com,www.agency-z-87.org,All ages,Support groups,-79.38006290489638,43.686243298443394,P2K 6X9
Agency G 7,537 King St,Midtown,416-194-2435,agency.g.7@example.com,www.agency-g-7.org,Adults,Counseling,-79.38593598781073,43.66267104777707,Y1U 6K1
Agency J 93,564 Queen St,Midtown,416-563-5723,agency.j.93@example.com,www.agency-j-93.org,Adults,Counseling,-79.37271567132979,43.641045984753404,I8A 8X6
Agency I 79,794 King St,Midtown,416-478-3578,agency.i.79@example.com,www.agency-i-79.org,Youth,Counseling,-79.37626194148213,43.662121753709194,S1S 4Q6
Agency S 23,391 King St,Downtown,416-441-7372,agency.s.23@example.com,www.agency-s-23.org,Adults,Counseling,-79.38915067986495,43.636585796303784,O2H 2W9
Agency D 26,409 King St,Scarborough,416-320-8387,agency.d.26@example.com,www.agency-d-26.org,Youth,Support groups,-79.38196158056806,43.65116350040422,K2Q 1B7
Agency N 32,727 Bloor St,Etobicoke,416-795-8859,agency.n.32@example.com,www.agency-n-32.org,Adults,Counseling,-79.38282477908037,43.662770700855205,Q6N 2J9
Agency Q 7,346 King St,Scarborough,416-260-4293,agency.q.7@example.com,www.agency-q-7.org,Seniors,Crisis intervention,-79.38254096767129,43.6304728778622,I3X 7V3
Agency K 27,160 Broadway,Scarborough,416-719-1835,agency.k.27@example.com,www.agency-k-27.org,Seniors,Support groups,-79.37291648785319,43.66044725141368,Y8G 7D8
Agency G 42,468 King St,Scarborough,416-547-1601,agency.g.42@example.com,www.agency-g-42.org,Adults,Rehabilitation,-79.38834860722889,43.662053340268045,O1C 4F6
Agency U 5,509 Main St,Etobicoke,416-341-9522,agency.u.5@example.com,www.agency-u-5.org,Adults,Rehabilitation,-79.37696723575237,43.644810888830975,L6A 5J9
